Kod;Nazwa;Nazwa;Nazwa;CenaEw;CenaDet;Stawka;stanmag
1;CHLEB 500;Domyślny;szt.;0.0000;0;5;-1748.2490
2;CHLEB KROJONY 500;Domyślny;szt;0.0000;0;5;-4455.0000
3;CHLEB RAZOWY 500;Domyślny;szt;0.0000;0;5;-925.0000
4;BUŁKA PSZENNA 500;Domyślny;szt;0.0000;0;5;-11908.0000
5;BUŁKA SŁONECZNIKOWA 500;Domyślny;szt;0.0000;0;5;-2262.0000
6;ROGAL 500;Domyślny;szt;0.0000;0;5;-206.0000
7;KANAPKA /ZAPIEKANKA 500;Domyślny;szt;0.0000;0;5;-623.0000
8;WYROBY CUKIERNICZE INNE 500;Domyślny;szt.;0.0000;0;5;-4613.2700
9;CIASTO SERNIK 500;Domyślny;kg;0.0000;0;5;-200.0380
10;CIASTO PAKOWANE 500;Domyślny;szt;0.0000;0;5;-195.0000
11;CIASTKA LUZEM 500;Domyślny;kg;0.0000;0;5;-76.0350
12;CIASTKA LUZEM 500;Domyślny;kg;0.0000;0;5;-22.6820
13;CUKIERKI NADZIEWANE LUZ;Domyślny;kg;0.0000;0;23;-87.3410
14;CUKIERKI W CZEKOLADZIE;Domyślny;kg;0.0000;0;23;-35.5900
15;JAJA ŚWIEŻE 500;Domyślny;szt;0.7000;0,95004;5;30.0000
16;WĘDLINY WIEPRZOWE 500;Domyślny;kg;0.0000;0;5;-2051.0320
17;WEDLINY DROBIOWE 500;Domyślny;kg;0.0000;0;5;-95.4070
18;PASZTET 500;Domyślny;kg;0.0000;0;5;-24.2990
19;MIĘSO WIEPRZOWE 500;Domyślny;kg;0.0000;0;5;-197.2230
20;KOŚCI WIEPRZOWE 500;Domyślny;kg;0.0000;0;5;-19.0940
21;MIĘSO DROBIOWE 500;Domyślny;kg;0.0000;0;5;-1083.4400
22;PORCJE ROSOŁOWE 500;Domyślny;kg;0.0000;0;5;-122.3860
23;RYBA WĘDZONA 500;Domyślny;kg;0.0000;0;5;-41.4350
24;ŚLEDZIE LUZ 500;Domyślny;kg;18.1600;0;5;-130.2060
25;RYBY MROŻONE 500;Domyślny;kg;23.6000;31,395;5;-124.5900
27;KOTLET RYBNY 500;Domyślny;kg;0.0000;0;5;-4.2900
29;SMALEC LUZ. 500;Domyślny;szt;0.0000;0;5;-75.9120
35;MARCHEW 500;Domyślny;kg;0.0000;0;5;-804.5740
36;PIETRUSZKA 500;Domyślny;kg;0.0000;0;5;-134.4140
37;SELER 500;Domyślny;kg;0.0000;0;5;-172.6820
38;POR 500;Domyślny;szt;0.0000;0;5;-258.0000
39;CEBULA 500;Domyślny;kg;0.0000;0;5;-298.2270
40;CZOSNEK 500;Domyślny;szt;2.1900;0;5;-393.0000
41;KAPUSTA 500;Domyślny;szt;0.0000;0;5;-299.0000
42;KAPUSTA KWASZONA 500;Domyślny;kg;0.0000;0;5;-462.0490
44;KALAFIOR 500;Domyślny;szt;0.0000;0;5;-13.0000
46;OGÓRKI 500;Domyślny;kg;0.0000;0;5;-277.7400
47;OGÓRKI KWASZONE 500;Domyślny;kg;0.0000;0;5;-58.0440
48;POMIDOR 500;Domyślny;kg;0.0000;0;5;-621.9590
49;SZCZYPIOR 500;Domyślny;szt;0.0000;0;5;-89.0000
50;SAŁATA 500;Domyślny;szt;0.0000;0;5;-71.0000
51;RZODKIEWKA 500;Domyślny;szt;0.0000;0;5;-206.0000
52;BURAK 500;Domyślny;kg;0.0000;0;5;-50.0000
53;PIECZARKI 500;Domyślny;kg;0.0000;0;5;-138.9680
54;PAPRYKA 500;Domyślny;kg;0.0000;0;5;-57.1110
55;JABŁKA 500;Domyślny;kg;0.0000;0;5;-1101.9350
56;GRUSZKI 500;Domyślny;kg;0.0000;0;5;-66.4580
57;ŚLIWKI 500;Domyślny;kg;0.0000;0;5;-2.1840
58;BRZOSKWINIE 500;Domyślny;kg;0.0000;0;5;-2.0000
60;WŁOSZCZYZNA 500;Domyślny;szt;0.0000;0;5;-147.0000
61;GREJPFRUT 500;Domyślny;kg;0.0000;0;5;-4.3360
62;POMARAŃCZA 500;Domyślny;kg;6.0100;0;5;-158.2970
63;MANDARYNKI 500;Domyślny;kg;0.0000;0;5;-331.3450
64;CYTRYNY 500;Domyślny;kg;0.0000;0;5;-116.1770
66;BORÓWKI 500;Domyślny;kg;0.0000;0;5;-15.5490
67;TRUSKAWKI 500;Domyślny;kg;0.0000;0;5;-77.3660
68;KIWI 500;Domyślny;-;0.0000;0;5;-100.7680
69;BANANY 500;Domyślny;kg;0.0000;0;5;-602.6030
71;MROŻONKA OWOCOWA 500;Domyślny;kg;7.4700;0;5;-11.4160
72;TWARÓG KRAJANKA 500;Domyślny;kg;0.0000;0;5;-40.5330
73;SER ŻÓŁTY 500;Domyślny;kg;0.0000;0;5;-265.8120
74;REKLAMÓWKA JEDNORAZOWA;Domyślny;szt;0.0000;0;23;-2.0000
75;PRASA 500;Domyślny;szt;0.0000;0;5;-50.0000
76;PRASA;Domyślny;szt;0.0000;0;8;-1510.0000
77;PRASA;Domyślny;szt;0.0000;0;23;-10.0000
79;DŁUGOPIS;Domyślny;szt;0.0000;0;23;-1.0000
84;GAZ BUTLOWY;Domyślny;szt;0.0000;0;23;-124.0000
85;DOŁADOWANIA TELEF.;Domyślny;szt;0.0000;0;23;-4.0000
86;STARTERY TALEF.;Domyślny;szt;0.0000;0;23;-1.0000
88;LIZAK/GUMY;Domyślny;szt;0.3200;0;23;-6.0000
95;SKARPETY;Domyślny;szt;1.9500;0;23;-1.0000
98;KAPSUŁKI PIORĄCE;Domyślny;szt;0.6600;0;23;-449.0000
110;GOSPODARSTWO DOMOWE;Domyślny;szt;0.5000;0;23;-570.0000
120;BUTELKA ZWROTNA;Domyślny;szt;0.0000;0;-0,01;-691.0000
122;ZIEMNIAKI 500;Domyślny;kg;0.5100;1,0395;5;-1991.1630
149;KWIATKI 500;Domyślny;szt;0.0000;0;5;-18.0000
152;RĘKWICE WAMPIRKI;Domyślny;szt;0.8700;1,799982;23;-10.0000
193;CHLEB KROJONY BUDZ. 500;Domyślny;szt;0.0000;5,355;5;-138.0000
195;BUŁKA BUDZ.0,05 500;Domyślny;szt;0.0000;0,4095;5;-789.0000
7586;SER EDAM RYCKI LUZ 500;Domyślny;kg;33.2023;43,50003;5;94.3900
7584;SER BYDGOSKI LUZ 500;Domyślny;kg;22.5900;29,90001;5;41.7150
7622;SER SALAMI ZAMBR.LUZ 500;Domyślny;kg;19.6357;22,98996;5;11.7200
8664;SER SALAMI POMID.BAZYL.LUZ 500;Domyślny;kg;28.3288;37,20003;5;11.7700
8193;SER ANTEK LUZ 500;Domyślny;kg;27.2701;35,595;5;8.1500
274;ARBUZ 500;Domyślny;kg;0.0000;0;5;-31.4880
275;PARÓWECZKI Z SZYNKI 500;Domyślny;kg;0.0000;0;5;-2.8000
280;KIEŁBASA KRAKOWSKA 500;Domyślny;kg;0.0000;0;5;-4.4100
281;KABANOSY LUZ 500;Domyślny;szt;0.0000;0;5;-2.2020
282;KIEŁBASA SZYNKOWA 500;Domyślny;kg;0.0000;0;5;-14.7200
283;SZYNKA WĘDZONA 500;Domyślny;kg;0.0000;0;5;-2.4200
284;UDKO Z KURCZAKA 500;Domyślny;kg;0.0000;0;5;-122.2800
285;PROWIZJA OD SPRZEDAŻY ZA 04.2024;Domyślny;szt;434.7600;534,759966;23;-3.0000
287;KIEŁBASA ZWYCZAJNA 500;Domyślny;kg;0.0000;0;5;-9.7600
288;FILET DROBIOWY 500;Domyślny;kg;0.0000;0;5;-262.7900
289;ŁOPATKA WIEPRZOWA 500;Domyślny;kg;0.0000;0;5;-213.9100
291;SCHAB B/DYMUSIA 500;Domyślny;kg;0.0000;0;5;-1.4000
292;WINOGRONO 500;Domyślny;kg;0.0000;0;5;-2.1100
293;SZYNKOWA EXTRA 500;Domyślny;kg;0.0000;0;5;-7.5200
296;SCHAB KROTOSZYŃSKI 500;Domyślny;kg;0.0000;0;5;-0.9000
297;WĘDLINA KONSERNOWA 500;Domyślny;kg;0.0000;0;5;-1.1000
298;BOCZEK WĘDZONY 500;Domyślny;kg;0.0000;0;5;-0.6700
299;KIEŁBASA ŚLĄSKA 500;Domyślny;kg;0.0000;0;5;-31.7890
301;KARKÓWKA B/K 500;Domyślny;kg;0.0000;0;5;-58.9600
302;ZABAWKI;Domyślny;szt;14.8400;0;23;-3.0000
303;KAPUSTA PEKIŃSKA 500;Domyślny;szt;2.8600;0;5;-16.0000
304;POLĘDWICA Z PSIEKI 500;Domyślny;kg;0.0000;0;5;-2.2600
305;WĘDLINA DROBIOWA INDYK 500;Domyślny;kg;0.0000;0;5;-0.3000
306;KOPER 500;Domyślny;szt;0.0000;0;5;-125.0000
307;CUKINIA 500;Domyślny;kg;0.0000;0;5;-11.0500
309;SZYNKA WP.SUROWA 500;Domyślny;kg;0.0000;0;5;-45.2000
310;KAPUSTA MODRA 500;Domyślny;szt;0.0000;0;5;-30.0000
311;KIEŁBASA BIAŁA 500;Domyślny;szt;0.0000;23,625;5;-5.8500
316;POLĘDWICA SOPOCKA 500;Domyślny;szt;0.0000;0;5;-0.6500
319;BAGIETKA DO WYPIEKANIA 500;Domyślny;szt;3.1700;4,65003;5;24.0000
324;DOFINKA DO WYPIEK. 500;Domyślny;szt;0.7100;1,200045;5;-171.0000
332;POMIDOREK KOKTAILOWY 500;Domyślny;szt;0.0000;0;5;-3.0000
333;SZCZYPIOR 500;Domyślny;szt;0.0000;0;5;-20.0000
7568;SER SALAMI CHOJNICE 1KG 500;Domyślny;kg;27.2487;35,900025;5;26.2500
2000;CUKINIA 500;Domyślny;szt;0.0000;0;5;-3.1000
7608;SER GOUDA MLEKPOL LUZ 500;Domyślny;kg;20.5014;26,25;5;3.5500
445;DOFINKA BUŁKA ZBOŻOWA 500;Domyślny;szt;0.9200;1,399965;5;108.0000
6646;Mlekpol Ser Królewski Z Kolna /Luz/ 500;Domyślny;kg;22.4898;31,395;5;14.5300
natka;NATKA PIETRUSZKI 500;Domyślny;szt;0.0000;2,1;5;-128.4000
004;TRUSKAWKOWE DUO 500;Domyślny;szt;2.2500;3,1395;5;19.0000
358;CZYNSZ ZA DZIERŻAWĘ POD MASZYNĘ WYSZYNY 16 ZA OKRES OD 01.05.2024-31.05.2024;Domyślny;szt;450.0000;553,5;23;-3.0000
362;ZUŻYCIE ENERGI ELEKTRYCZNEJ ZA OKRES 01.04.2024-30.04.2024;Domyślny;KW;1.0900;1,339962;23;-172.0000
7596;WŁOSZCZOWA SER GOUDA KG. 500;Domyślny;kg;17.5774;28,99995;5;10.1300
6757;WŁOSZCZOWA SER WŁOSZCZOWSKI KG. 500;Domyślny;kg;24.5638;32,50002;5;15.8600
376;KRUSZON 500;Domyślny;szt;0.0000;31,5;5;-4.2500
377;JABŁECZNIK 500;Domyślny;szt;0.0000;30,24;5;-4.9500
218933;TWARÓG KRAJANKA LUBLANKA 500;Domyślny;kg;11.7900;15,75;5;5.8500
8133;SER SALAMI PAPRYKA I PIEPRZ LUZ 500;Domyślny;kg;28.6667;37,695;5;1.5000
383;BUŁKA Z DYNIĄ;Domyślny;szt;1.3200;1,79004;5;16.0000
384;KIEŁBASKI LUKSUSOWE 500;Domyślny;szt;25.7800;32,55;5;-37.1670
386;PARÓWKI Z SZYNKI JBB 500;Domyślny;szt;0.0000;32,76;5;-21.3800
19838;JBB Szynka w Siatce/ Luz/.ZV 500;Domyślny;kg;25.9899;32,5395;5;8.9100
388;Sklep Polski Plakat 84x118,9;Domyślny;szt;0.0100;0,009963;23;1.0000
389;BAZYLIA ŚWIEŻA 500;Domyślny;szt;7.0000;9,345;5;-4.0000
5413;JBB KIEŁBASA ŚLĄSKA SPEC KG 500;Domyślny;kg;22.6919;26,99004;5;18.1800
232323;KOŚCI WĘDZONE;Domyślny;szt;0.0000;0;5;-3.3000
390;KIEŁBASA ŻYWIECKA;Domyślny;szt;28.5000;35,900025;5;-4.4000
